,name,album,artist,releas_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
68,The Beast,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,243760,1,0.802,0.0658,0.13,0.932,0.107,-22.11,0.0467,74.041,4
69,Suite from Poldark,Poldark: Music from the TV Series (Deluxe Version),Anne Dudley,2016-09-16,331400,39,0.752,0.119,0.18,0.757,0.315,-16.648,0.0344,84.371,3
70,"Campfire - From ""Tangled""/Score",Tangled,Various Artists,2010-01-01,201666,40,0.946,0.145,0.0728,0.883,0.148,-21.294,0.0356,83.886,4
71,"Swan Lake, Op. 20, Act II No. 13, Danses des cygnes: Act II By a Lake: No. 13. Dances of the swans: II. Moderato assai","Tchaikovsky: Swan Lake, Op. 20 (Complete)",Pyotr Ilyich Tchaikovsky,2013-10-01,126560,30,0.878,0.174,0.014,0.0152,0.573,-26.85,0.0506,88.32,4
72,Christmas at Hogwarts,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,175533,50,0.82,0.18,0.0512,0.0546,0.137,-29.604,0.0439,79.124,4
73,Evangeline,Chrysaline,Josh Garrels,2019-08-09,249546,32,0.295,0.597,0.427,0.914,0.104,-7.95,0.0266,105.011,4
74,Your Mother,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,133906,43,0.943,0.137,0.0377,0.902,0.0861,-25.654,0.0413,143.203,4
75,A Dream Is a Wish Your Heart Makes - Instrumental Version,Cinderella (Original Motion Picture Soundtrack),Various Artists,2015-01-01,121266,44,0.933,0.103,0.0477,0.951,0.0768,-21.51,0.0406,174.815,3
76,Valse Royale,Cinderella (Original Motion Picture Soundtrack),Various Artists,2015-01-01,126293,34,0.667,0.495,0.136,0.467,0.0863,-22.977,0.0343,94.99,3
77,Without You,The Shape Of Water (Original Motion Picture Soundtrack),Various Artists,2017-12-01,150520,29,0.925,0.12,0.121,0.621,0.0942,-15.833,0.0423,176.043,3
78,Fantasy for Violin and Orchestra,Ladies in Lavender (Original Motion Picture Soundtrack),Joshua Bell,2004-11-01,219466,24,0.898,0.136,0.328,0.0598,0.173,-11.395,0.0408,75.625,3
79,Perfume: The Story of a Murderer: Distilling Roses,Perfume - The Story of a Murderer [Original Motion Picture Soundtrack],Tom Tykwer,2006-11-06,112026,21,0.956,0.207,0.0686,0.946,0.161,-23.72,0.0342,77.914,4
80,Curtain,Anna Karenina (Original Music From The Motion Picture),Dario Marianelli,2012-01-01,113893,27,0.933,0.14,0.355,0.814,0.178,-14.442,0.0461,68.152,4
81,The Vikings Have Their Tea,How To Train Your Dragon (Music From The Motion Picture),John Powell,2010-01-01,123666,39,0.363,0.165,0.271,0.669,0.454,-16.797,0.0426,63.443,3
82,Gramophone,Cascade of Dreams,Eugen Doga,2012-04-10,149480,42,0.927,0.195,0.293,0.747,0.158,-8.962,0.032,177.896,3
83,Adagio,Songs From A Secret Garden,Rolf Løvland,1995-01-01,178213,0,0.922,0.201,0.34,0.762,0.121,-11.873,0.0348,103.651,4
84,"Tour of the Kingdom - From ""The Little Mermaid""/Score",Little Mermaid (Special Edition),Alan Menken,2006-01-01,87186,34,0.876,0.3,0.164,0.959,0.11,-15.169,0.0343,101.967,4
85,"Bedtime - From ""The Little Mermaid""/Score",Little Mermaid (Special Edition),Alan Menken,2006-01-01,82853,50,0.948,0.0993,0.0969,0.0569,0.294,-22.484,0.0467,171.277,1
86,Jo Writes,Little Women (Original Motion Picture Soundtrack),Alexandre Desplat,2019-12-13,229773,45,0.979,0.386,0.158,0.919,0.0972,-16.5,0.0331,89.196,4
87,Message from the Blue Fairy,Pinocchio,Various Artists,1992-01-01,90186,17,0.872,0.101,0.222,0.921,0.123,-15.909,0.0387,166.147,3
88,"Transformation - From ""Beauty and the Beast""/Soundtrack Version",Beauty and the Beast,Various Artists,1991-01-01,349373,47,0.864,0.164,0.242,0.31,0.0755,-14.897,0.0351,95.496,4
89,In the Rain,Howl's Moving Castle Soundtrack,Joe Hisaishi,2004-11-19,88426,48,0.975,0.277,0.0415,0.955,0.126,-23.933,0.0338,100.66,3
90,Into Paris,Outlander: Season 2 (Original Television Soundtrack),Bear McCreary,2016-10-28,229306,27,0.813,0.227,0.174,0.9,0.124,-17.293,0.0384,119.358,4
91,"Love Theme (From ""Cinema Paradiso"")",The Essential Itzhak Perlman,Itzhak Perlman,1966,197306,37,0.927,0.189,0.16,0.421,0.111,-19.862,0.0427,31.988,4
92,The Secret History,Kerry Muzzey: The Architect,The Chamber Orchestra Of London,2014-08-26,302095,57,0.893,0.228,0.22,0.171,0.119,-14.032,0.0357,123.69,4
93,Entre Costuras,El Tiempo Entre Costuras (Banda Sonora Original),Cesar Benito,2013-12-10,98000,10,0.933,0.221,0.268,0.241,0.12,-9.726,0.0357,73.442,3
94,Symphonicsuite (Aot) Part1-2nd: Historia,"""Attack on Titan"" Season 3 Original Soundtrack",Hiroyuki Sawano,2019-08-26,231386,42,0.674,0.161,0.124,0.0371,0.161,-13.349,0.0394,138.714,4
95,La Parfum de Fleurs,Oh! スケトラ!!! ユーリ!!! on ICE/オリジナル・スケートソングCOLLECTION,Various Artists,2016-12-21,125733,42,0.938,0.159,0.316,0.744,0.102,-13.978,0.0492,161.676,4
96,Les Tres Riches Heures du Duc de Berry,Le plus beau livre du monde | 世界で一番美しい本,Umitaro Abe,2020-10-07,166218,3,0.962,0.23,0.242,0.321,0.139,-13.225,0.0435,61.672,4
97,Journey To The West (Princess Mononoke),A Night in Fantasia 2004: Studio Ghibli Edition,Eminence Symphony Orchestra,2010-05-11,338933,42,0.922,0.152,0.124,0.923,0.693,-19.461,0.04,96.209,4
98,Goshintai,Your Name.,RADWIMPS,2016-08-24,204946,0,0.848,0.232,0.116,0.73,0.0959,-15.913,0.0486,127.952,4
99,Flying with the Turtles,La tortue rouge (Bande originale du film),Laurent Perez Del Mar,2016-06-24,143573,28,0.948,0.185,0.0674,0.905,0.115,-14.227,0.0353,81.037,4
