created,text,retwc,hashtag,followers,friends
2021-06-08 17:11:50,b'Me and Harry Potter got the same scar mine just don\xe2\x80\x99t got the line in the middle',0,None,178,100
2021-06-08 17:11:48,"b""RT @QuinnCurio: \xf0\x9f\x90\x8dOut Now: \xf0\x9f\x90\x8d\n\nSo this was fun, I got to question some of Rowling's world-building choices. I even got to put my complicated\xe2\x80\xa6""",32,None,28,638
2021-06-08 17:11:46,b'RT @TheHPfacts: harry potter and the audacity of this bitch https://t.co/9rccKj47Xd',628,None,172,284
2021-06-08 17:11:45,b'RT @TheHPfacts: harry potter and the audacity of this bitch https://t.co/9rccKj47Xd',628,None,458,286
2021-06-08 17:11:41,"b""RT @FandomForward: You've heard it here first, we have officially evolved! The Harry Potter Alliance is proud to announce our new name: Fan\xe2\x80\xa6""",60,None,204,568
2021-06-08 17:11:38,"b""RT @FandomForward: You've heard it here first, we have officially evolved! The Harry Potter Alliance is proud to announce our new name: Fan\xe2\x80\xa6""",60,None,184,835
2021-06-08 17:11:35,b'RT @throwbackagb: Ariana at the Wizarding World of Harry Potter 9 years ago today (8th June 2012) https://t.co/xon4nApej5',53,None,267,803
2021-06-08 17:11:31,b'RT @IordCinco: Is Harry Potter really that nigga or do he just got some great ass role players around him\xf0\x9f\xa4\xa8that boy do not be hooping solo d\xe2\x80\xa6',39,None,879,677
2021-06-08 17:11:26,"b""RT @berfinnceyllan: I drew the cover of Harry Potter and the Sorcerer's Stone. \xf0\x9f\xa7\xb9\xf0\x9f\xa7\x99\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\n\n#pixelart #pixelartist #aseprite #harrypotter https:\xe2\x80\xa6""",4,pixelart,4,80
2021-06-08 17:11:13,"b""@calvindyson I'd say Harry Potter dressing up as John Lennon as a Craftsman \xf0\x9f\xa4\xa3\xf0\x9f\xa4\x98""",0,None,122,136
2021-06-08 17:10:53,b'RT @profLynette: It\xe2\x80\x99s official! The Harry Potter Alliance is now @FandomForward. They\xe2\x80\x99re a 501c3 nonprofit that uses the power of pop cultu\xe2\x80\xa6',3,None,1718,220
2021-06-08 17:10:51,b'i\xe2\x80\x99m pretty sure reading harry potter and the five people you meet in heaven doesn\xe2\x80\x99t make me an intellectual',0,None,234,380
2021-06-08 17:10:46,"b'if u see me in public with my earphones in i\xe2\x80\x99m probably either listening to kate bush, the mamma mia sound track or\xe2\x80\xa6 https://t.co/spzGpiMpKK'",0,None,645,811
2021-06-08 17:10:39,b'Cyber-Thief Invention (Part 1) is the highest selling book since Harry Potter!',0,None,10,14
2021-06-08 17:10:36,b'RT @profLynette: It\xe2\x80\x99s official! The Harry Potter Alliance is now @FandomForward. They\xe2\x80\x99re a 501c3 nonprofit that uses the power of pop cultu\xe2\x80\xa6',3,None,305,268
