created,text,retwc,hashtag,followers,friends
2021-06-10 16:12:23,"b""@twelfthkelebek Korean's Harry Potter&gt;&lt;""",0,None,251,289
2021-06-10 16:12:20,"b'I hate Gryffindors. They always go to the Forbidden Forrest, no matter what I say! Harry Potter especially.'",0,None,3,0
2021-06-10 16:12:17,b'RT @PotterWorldUK: Harry Potter vs Lord Voldemort https://t.co/ibe2W5wiXI',84,None,36,80
2021-06-10 16:12:01,"b'@EmmaKennedy @SeamusBlackley My mother had exactly the same in the same same place, it left her with a Harry Potter\xe2\x80\xa6 https://t.co/yBt6TrH0UD'",0,None,16,158
2021-06-10 16:11:43,b'Harry Potter lowkey goat',0,None,31,107
2021-06-10 16:11:23,b'RT @DevinFromThe7: @NewTSage Harry Potter knew 4 moves like a Pokemon.',5,None,107,134
2021-06-10 16:11:09,b'RT @artblvnk: Harry just being Mr. Potter https://t.co/f37QKB0NIv',27,None,466,657
2021-06-10 16:11:00,"b'@bertanyarl thor ragnarok, the greatest showman, the devil wears prada, avengers infinity war, lord of the rings, h\xe2\x80\xa6 https://t.co/eG0WttfqDj'",0,None,285,316
2021-06-10 16:10:52,b'When harry potter is secretly about drug cartels',0,None,758,2685
2021-06-10 16:10:51,b'Harry Potter https://t.co/L8P6ryScl1',0,None,1679,1682
2021-06-10 16:10:35,b'RT @krolljvar: EXCLU: Harry Melling aka Dudley Dursley from the HARRY POTTER pics is all grown up and ready to play Edgar Allan Poe in Scot\xe2\x80\xa6',32,None,2286,4995
2021-06-10 16:10:15,b'Check out this listing I just added to my #Poshmark closet: Vera Bradley Harry Potter Herbology Book Bag Charm.\xe2\x80\xa6 https://t.co/SWcRGcNq5D',0,Poshmark,299,1014
2021-06-10 16:10:00,"b""@azulgris27 @brxcewaynes Harry Potter isn't exactly a kids' franchise &amp; Disney movies are made for all who watch them. Not just kids.""",0,None,989,974
2021-06-10 16:10:00,b'RT @Kessa231: Yugyeom? Or harry potter and hermione about to feed that pink umbridge to that giant and being dragged by centaurs? https://t\xe2\x80\xa6',1,None,2167,1328
2021-06-10 16:09:47,b'\xe2\x9c\xa8Calling all mini witches and wizards\xe2\x9c\xa8 booking is open for our Harry Potter Book Night! On 24th June you can discov\xe2\x80\xa6 https://t.co/KcmE4aMz46',0,None,1562,959
2021-06-10 16:09:43,b'Harry Potter??? https://t.co/cDF3R8Il2b',0,None,1140,1508
2021-06-10 16:09:40,b'SHEMS HARRY POTTER SAKALAM #KabjagiSpaces',0,KabjagiSpaces,157,238
2021-06-10 16:09:14,b'@Miavogue1 Harry Potter Deathly Hallows pt. 1\n\nI feel like I should be concerned\xf0\x9f\x98\xac',0,None,1,13
2021-06-10 16:09:10,b'/ Harry Potter\n\nJK Rowling afraid of Gay People help\xf0\x9f\x98\xad https://t.co/zV85efI0CZ',0,None,475,404
2021-06-10 16:09:03,"b""RT @bladeztoyz: To celebrate #fathersday this year, we're offering a huge 40% off across our site with the code FATHERSDAY40 so you can mak\xe2\x80\xa6""",1,fathersday,1500,532
2021-06-10 16:09:00,b'@budetunnel @dundonradio Ha ha very good and harry potter in there too\xf0\x9f\x98\x8a\xf0\x9f\x98\x80\xf0\x9f\x98\x8a',0,None,42,98
2021-06-10 16:09:00,b'RT @PotterWorldUK: Harry Potter vs Lord Voldemort https://t.co/ibe2W5wiXI',84,None,41,278
2021-06-10 16:08:53,"b""To celebrate #fathersday this year, we're offering a huge 40% off across our site with the code FATHERSDAY40 so you\xe2\x80\xa6 https://t.co/3YwOyBK6NX""",1,fathersday,12400,449
2021-06-10 16:08:52,b'RT @starlitaeyeon: harry potter sana potter arigatouuu!\n\n#onceselcaday #osd \n@JYPETWICE https://t.co/Md1dAqXSMx',20,onceselcaday,1506,1392
2021-06-10 16:08:50,b'Harry Potter and the MCU https://t.co/yUPjXEnHgh',0,None,1455,850
2021-06-10 16:08:46,b'New Harry Potter Doctor Who TV Show: JACOREY WHO https://t.co/jeCuXDm26X https://t.co/5nhoR1yTWU',1,None,39,467
2021-06-10 16:08:45,b'HARRY POTTER CHARACTERS AS TAYLOR SWIFT LYRICS https://t.co/25tgYMyB5j',0,None,129,184
2021-06-10 16:08:40,b'These harry potter dreams are getting out of control \xf0\x9f\x98\xad',0,None,1507,434
2021-06-10 16:08:39,"b'RT @FollowIreland: It may look as though it fell straight out of a scene from Harry Potter, its actually the Museum Building at Trinity Col\xe2\x80\xa6'",21,None,542,1370
2021-06-10 16:08:33,b'Watching Harry Potter making my whole week lmaoo',0,None,607,956
2021-06-10 16:08:19,b'hi guys i\xe2\x80\x99m looking for moots \xf0\x9f\x98\xa9 follow me if you like any of the following:\n\n-marvel\n-stranger things\n-twilight\n-ro\xe2\x80\xa6 https://t.co/1TviKWqoxe',0,None,0,9
2021-06-10 16:08:14,"b""RT @wjsani: Bambam's highlight medley seemed like a combination of harry potter, Alice in wonderland and some space movies ITS SO ARTISTIC\xe2\x80\xa6""",27,None,907,2366
2021-06-10 16:08:12,b'@PrimeVideoIN Harry Potter and the philosophers stone',0,None,172,185
2021-06-10 16:08:08,b'@moviemenfes emma watson - harry potter and little women',0,None,282,355
2021-06-10 16:07:50,"b'RT @dora_t0nks: as representatividades em Harry Potter, \na thread! https://t.co/bcdqSrAFP6'",1063,None,3,118
2021-06-10 16:07:43,b'Harry Potter Gift - Hedwig Owl gift - Harry Potter Book Art -  Presentation Box - Owl gift - owl lover gift - Harry\xe2\x80\xa6 https://t.co/QG4Yi5NzaW',0,None,7840,4720
2021-06-10 16:07:35,b'RT @quis65189543: @ksea43 Trust me he not leading you to Harry Potter. More like the Noose knotter. Don\xe2\x80\x99t make eye contact.',6,None,661,1155
2021-06-10 16:07:25,b'RT @quis65189543: @ksea43 Trust me he not leading you to Harry Potter. More like the Noose knotter. Don\xe2\x80\x99t make eye contact.',6,None,735,1243
2021-06-10 16:07:24,b'RT @soloharriegains: rt / like to gain solo harrie mutuals who also like harry potter. follow everyone who rts and likes this tweet to gain\xe2\x80\xa6',4,None,755,643
2021-06-10 16:07:16,"b'Harry Potter Proposal. Perfect in so many ways. My girlfriend loves Harry Potter, so this is the ring I designed fo\xe2\x80\xa6 https://t.co/HRdx9iKQkg'",0,None,268,492
