created,text,retwc,hashtag,followers,friends
2021-10-25 18:29:48,"b""RT @rec777777: You couldn't get more Jewish than Jack Cohen of Tesco. A truly great  businessman, who was wonderful for Britain.\n\nJack sold\xe2\x80\xa6""",123,None,200,586
2021-10-25 18:29:47,b'RT @losttinoct: Christmas with you is the best thing \xf0\x9f\x8e\x84\xe2\xad\x90\xef\xb8\x8f',1096,None,333,208
2021-10-25 18:29:45,b'@thehill He\xe2\x80\x99s also selling FJB and Let\xe2\x80\x99s Go Brandon shirts. Stock up now before Christmas!',0,None,50,468
2021-10-25 18:29:45,b'RT @GuntherEagleman: The guy is killing dogs and cancelling Christmas\xe2\x80\xa6 Is this really America?',914,None,157,229
2021-10-25 18:29:45,b'RT @losttinoct: Christmas with you is the best thing \xf0\x9f\x8e\x84\xe2\xad\x90\xef\xb8\x8f',1096,None,1209,1353
2021-10-25 18:29:42,"b'RT @zazavintageboho: https://t.co/J9819BgvPV\n\nStay in touch, if you love buttons and charms as much as I do: https://t.co/QhcLLSMkjj\n\nLet\xe2\x80\x99s\xe2\x80\xa6'",2,None,3888,4254
2021-10-25 18:29:41,b'RT @ntferny: is this the war on Christmas I\xe2\x80\x99ve heard about?',2225,None,85,1542
2021-10-25 18:29:41,"b'RT @Depheruk: D.E.P.H.E.R \nFREE emergency plumbing and heating services for the Elderly, Vulnerable and Disabled people in the communities.\xe2\x80\xa6'",3,None,2427,1950
2021-10-25 18:29:40,"b""RT @mi_woo17: Minghao: Merry Christmas\xf0\x9f\x8e\x81\xf0\x9f\x8e\x84\nWonwoo: even myungho's pants are perfect\n\n@pledis_17 their humor..\xf0\x9f\x98\x82 https://t.co/Zq5bViPPm9""",156,None,34,207
2021-10-25 18:29:39,b'@DrHoenderkamp @Steph_McKeon Really no risk to any one \xf0\x9f\xa4\xa3my friend  is double vaccinated and has had covid twice sin\xe2\x80\xa6 https://t.co/b5fuAbnmGJ',0,None,100,327
2021-10-25 18:29:39,b'RT @HypnoticPours: 15% OFF EVERYTHING with code \xe2\x80\x9cSHOP\xe2\x80\x9d \n\nStart your Christmas shopping now and get ahead of the game!! \xf0\x9f\x8e\x81\xf0\x9f\x94\xa5\nhttps://t.co/jtpe\xe2\x80\xa6',21,None,3040,997
2021-10-25 18:29:38,b'RT @losttinoct: Christmas with you is the best thing \xf0\x9f\x8e\x84\xe2\xad\x90\xef\xb8\x8f',1096,None,180,629
2021-10-25 18:29:38,"b""RT @FragranceDirect: FOLLOW, LIKE &amp; RT TO WIN! \xf0\x9f\x8c\x9f YANKEE GIVEAWAY \xf0\x9f\x8c\x9f Home scent lovers, this one's for you! We're giving away a dreamy bundle\xe2\x80\xa6""",547,None,244,3965
2021-10-25 18:29:37,b'RT @losttinoct: 61 days left until Christmas \xf0\x9f\x8e\x84\xe2\xad\x90\xef\xb8\x8f',388,None,1,15
2021-10-25 18:29:37,b'RT @nichokelmaoo: If you have your Christmas tree up already I.... https://t.co/gWYRWVMBU8',1,None,468,786
2021-10-25 18:29:37,"b'RT @LeagueACS: With less than 10 weeks to go until Christmas, it\xe2\x80\x99s time to get your festive cards (while stocks last).\n\nVisit: https://t.co\xe2\x80\xa6'",25,None,192,223
2021-10-25 18:29:36,b'Everyone of them should\xe2\x80\x99ve won a Grammy even the Christmas and Halloween specials https://t.co/H2t51Tnodj',0,None,1169,948
2021-10-25 18:29:36,b'RT @HypnoticPours: 15% OFF EVERYTHING with code \xe2\x80\x9cSHOP\xe2\x80\x9d \n\nStart your Christmas shopping now and get ahead of the game!! \xf0\x9f\x8e\x81\xf0\x9f\x94\xa5\nhttps://t.co/jtpe\xe2\x80\xa6',21,None,1484,1098
