created,text,retwc,hashtag,followers,friends
2021-06-04 21:12:49,"b'RT @HarryYorke1: Exclusive with @JamesCrisp6 \n\nThe UK\xe2\x80\x99s participation in Horizon Europe, the EU\xe2\x80\x99s \xe2\x82\xac100bn flagship research programme, is no\xe2\x80\xa6'",10,None,5415,4896
2021-06-04 21:12:49,b'RT @DavidHenigUK: Would you want to visit a country whose government has a department dedicated to making your visit as difficult and expen\xe2\x80\xa6',161,None,244,529
2021-06-04 21:12:48,"b'RT @rglarsen: Can we stop using the phrase ""EU Red tape"" and start calling it what it actually is ""Brexit red tape"" #BrexitReality @Conserv\xe2\x80\xa6'",849,BrexitReality,212,1302
2021-06-04 21:12:45,b'@copdawoot @Thecapt10011961 @trussliz 1. The financial benefit of EU membership far outweighed the cost. \n2. Brexit\xe2\x80\xa6 https://t.co/hvlnCiyEb0',0,None,2001,1487
2021-06-04 21:12:43,"b'RT @jonlis1: To be clear, it\xe2\x80\x99s good news that the UK has signed a trade deal with Norway and Iceland - but no amount of spin from Liz Truss\xe2\x80\xa6'",220,None,374,352
2021-06-04 21:12:40,b'Brexit is the nightmarish imploding tory fuck-up pukers',0,None,10,6
2021-06-04 21:12:39,b'RT @JonJonesSnr: Travel to Portugal was stopped at the first sight of rising infections.\n\nTravel to India was kept open to facilitate the s\xe2\x80\xa6',386,None,423,714
2021-06-04 21:12:38,b'RT @JonJonesSnr: Travel to Portugal was stopped at the first sight of rising infections.\n\nTravel to India was kept open to facilitate the s\xe2\x80\xa6',386,None,1666,1732
2021-06-04 21:12:37,"b'RT @jonlis1: To be clear, it\xe2\x80\x99s good news that the UK has signed a trade deal with Norway and Iceland - but no amount of spin from Liz Truss\xe2\x80\xa6'",220,None,795,1684
2021-06-04 21:12:36,"b'RT @Laurence_in_EU: Seriously, I know almost nothing about psychopathy. But I think delusion must be at the very root of it. And delusion i\xe2\x80\xa6'",6,None,1423,4987
2021-06-04 21:12:33,b'RT @mickOReg: @BainzyC Thanks to a wonderful Brexit and Liz Truss our trade \xf0\x9f\x93\x88\xf0\x9f\x93\x8ais very healthy and getting even better \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x81 https://t.co/z1LA\xe2\x80\xa6',2,None,1863,2898
2021-06-04 21:12:31,"b""RT @acgrayling: I don't think Labour has any idea of the size &amp; strength of anti-Brexit feeling in the UK. #Rejoin is never going to go awa\xe2\x80\xa6""",1104,Rejoin,2329,4020
2021-06-04 21:12:31,"b'RT @sonofr: Starmer clearly moving on...""making Brexit work"" has been met with a tsunami of derision. Now the great Labour brain has come u\xe2\x80\xa6'",39,None,3117,3832
2021-06-04 21:12:30,"b'RT @BjCruickshank: So have i got this right? Scotland has now to suffer a third Covid wave, because of the Indian variant which is highly t\xe2\x80\xa6'",321,None,2062,3561
2021-06-04 21:12:30,"b'RT @SimonPease1: In the end, if Labour is not interested in representing those who have accepted brexit has happened, but are determined to\xe2\x80\xa6'",21,None,7254,7695
2021-06-04 21:12:29,"b""RT @AlexSFairley: Look at this ignorant fuckwit. I've got to travel 1,000 miles for a visa for my work in Austria later this year, with att\xe2\x80\xa6""",2,None,136,401
2021-06-04 21:12:29,"b""RT @acgrayling: I don't think Labour has any idea of the size &amp; strength of anti-Brexit feeling in the UK. #Rejoin is never going to go awa\xe2\x80\xa6""",1104,Rejoin,1428,575
2021-06-04 21:12:29,"b""RT @acgrayling: I don't think Labour has any idea of the size &amp; strength of anti-Brexit feeling in the UK. #Rejoin is never going to go awa\xe2\x80\xa6""",1104,Rejoin,443,662
2021-06-04 21:12:26,b'RT @iaindocherty: @DrDavidMcMenemy They are a material factor in #Brexit. It\xe2\x80\x99s scandalous.',1,Brexit,1769,5001
2021-06-04 21:12:26,b'RT @Independent: UK does deal with Norway and Iceland to soften new Brexit trade barriers https://t.co/moz9UajaI8',9,None,2137,4375
2021-06-04 21:12:25,"b'@lisa_cara19 Don\'t believe a word of it. Remember, the Remainers had a ""majority"" before and during the #Brexit ref\xe2\x80\xa6 https://t.co/dqX8PpnnnL'",0,Brexit,1637,1625
2021-06-04 21:12:24,b'RT @kwrmag: @LBC @toryboypierce It\xe2\x80\x99s an inter dependent world in a global Britain post Brexit ? Errrr https://t.co/UWPqjiKYQH',2,None,69,294
2021-06-04 21:12:22,b'RT @dariomazzola: For all #FBPE and #FBPA people it\xe2\x80\x99s #followbackfriday! Let\xe2\x80\x99s expand our network with each other so we can better act toge\xe2\x80\xa6',181,FBPE,5045,4983
2021-06-04 21:12:20,b'RT @mickOReg: @BainzyC Thanks to a wonderful Brexit and Liz Truss our trade \xf0\x9f\x93\x88\xf0\x9f\x93\x8ais very healthy and getting even better \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x81 https://t.co/z1LA\xe2\x80\xa6',2,None,6412,6585
2021-06-04 21:12:15,"b'RT @marcusleroux: ""No 10 appears to realise that at some point opponents and voters will start asking when the Brexit dividend is going to\xe2\x80\xa6'",237,None,1113,1943
2021-06-04 21:12:15,"b'RT @gordonblackburn: It\xe2\x80\x99s a tragedy that immediately after the division caused by Brexit the country was plunged into the Covid crisis , Th\xe2\x80\xa6'",4,None,139,209
2021-06-04 21:12:12,b'RT @dariomazzola: For all #FBPE and #FBPA people it\xe2\x80\x99s #followbackfriday! Let\xe2\x80\x99s expand our network with each other so we can better act toge\xe2\x80\xa6',181,FBPE,1288,1275
2021-06-04 21:12:10,b'Sam Morsey and Mo Besic in midfield playing brexit football https://t.co/CmgHmcPNSK',0,None,70,245
2021-06-04 21:12:09,"b'RT @ranil: \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xb3\xf0\x9f\x87\xb4\xf0\x9f\x87\xae\xf0\x9f\x87\xb8\xf0\x9f\x87\xb1\xf0\x9f\x87\xae A busy day at @TradeGovUK, where we\xe2\x80\x99ve secured another trade deal!\n\n\xf0\x9f\x97\xa3 \xe2\x80\x9cWe are delivering on the promise of Brexit by do\xe2\x80\xa6'",4,None,6393,528
2021-06-04 21:12:09,"b'RT @davidschneider: Don\xe2\x80\x99t be angry at the government. Yes, the Indian/Delta variant is now out of control, threatening a 3rd wave, and yes,\xe2\x80\xa6'",1829,None,138,796
2021-06-04 21:12:08,"b'RT @BjCruickshank: So have i got this right? Scotland has now to suffer a third Covid wave, because of the Indian variant which is highly t\xe2\x80\xa6'",321,None,6060,5163
2021-06-04 21:12:08,"b""RT @Matt_JE7: #LBC caller : I forgive Johnson and Hancock for all the mistakes (deaths), but they've lost my support over the Portugal deba\xe2\x80\xa6""",1399,LBC,1110,964
2021-06-04 21:12:07,b'@Monsieur_Brexit @lewis_goodall You are aware he is just quoting the Norwegian PM right?\nThey were asked if the dea\xe2\x80\xa6 https://t.co/xrZTKGUVAw',0,None,63,95
2021-06-04 21:12:07,"b'RT @roadcc: Caveat emptor: Brooks England resumes shipments to UK online customers, but warns they will have to pay VAT and duties due to B\xe2\x80\xa6'",4,None,1630,1111
2021-06-04 21:12:05,"b'RT @sarasheridan: I just added my name to the projection onto the Brussels night sky, turning the anniversary  of the brexit vote on 23rd J\xe2\x80\xa6'",35,None,2594,2185
2021-06-04 21:12:04,b'RT @JonJonesSnr: Travel to Portugal was stopped at the first sight of rising infections.\n\nTravel to India was kept open to facilitate the s\xe2\x80\xa6',387,None,443,662
2021-06-04 21:11:59,b'@lewis_goodall When will it occur to journalists like Dear Lewis that the Brexit ship has sailed. It\xe2\x80\x99s as pointless\xe2\x80\xa6 https://t.co/ebopOZgy1o',0,None,1046,460
2021-06-04 21:11:59,b'Nick Clegg\xe2\x80\x99s greatest political crime \xe2\x80\x93 the enabling of Cameron &amp; Tory Austerity that paved the way to #Brexit and\xe2\x80\xa6 https://t.co/tNdXG9ENZ7',0,Brexit,1381,1559
2021-06-04 21:11:58,"b'RT @jonlis1: To be clear, it\xe2\x80\x99s good news that the UK has signed a trade deal with Norway and Iceland - but no amount of spin from Liz Truss\xe2\x80\xa6'",220,None,231,192
2021-06-04 21:11:58,"b""RT @youngeuromove: We're delighted to launch the trailer for our #BrexitReality Portraits! \xf0\x9f\x8e\x89\xf0\x9f\x98\x81\n\nIn this series of videos, we will present to\xe2\x80\xa6""",18,BrexitReality,3416,3986
2021-06-04 21:11:57,b'The replies to this nonsense are hilarious but I can\xe2\x80\x99t bring myself to laugh because the reality of the arts post B\xe2\x80\xa6 https://t.co/XrYuKjM0ZS',0,None,760,847
2021-06-04 21:11:54,b'The U.K.\xe2\x80\x99s top financiers have been invited to meet Prime Minister Boris Johnson and Chancellor of the Exchequer Ri\xe2\x80\xa6 https://t.co/73gqoMU1Nr',0,None,129075,119
2021-06-04 21:11:53,b'RT @Eddystone506: Why is it so hard for brexit dinosaaurs to understand that:\n\n1) we paid the EU \xc2\xa310bn per year\n\n2) and got \xc2\xa3325bn exports\xe2\x80\xa6',409,None,436,568
2021-06-04 21:11:52,"b'RT @jonlis1: To be clear, it\xe2\x80\x99s good news that the UK has signed a trade deal with Norway and Iceland - but no amount of spin from Liz Truss\xe2\x80\xa6'",220,None,458,770
2021-06-04 21:11:51,"b'RT @TheNewEuropean: The US president was expected by many, including his supporters, to be an uninspiring, unimaginative and ineffective le\xe2\x80\xa6'",14,None,1211,2061
