created,text,retwc,hashtag,followers,friends
2021-06-07 15:18:50,b'RT @tyongchoco: \xf0\x9f\x97\x92 [ \xf0\x9d\x90\x83\xf0\x9d\x90\x80\xf0\x9d\x90\x98 \xf0\x9d\x9f\x95 ]\n\xe2\x95\xb0 what is your favorite movie(s) recommendation for Taeyong?\n\ni recommend these movies with 4 different genres\xe2\x80\xa6',30,None,1711,1715
2021-06-07 15:18:49,"b""@jcmtiny Usually people who don't know well about harry potter houses only choose either gryffindor or slytherin \xf0\x9f\xa4\xa3""",0,None,983,163
2021-06-07 15:18:43,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,94,483
2021-06-07 15:18:42,b'RT @tyongchoco: \xf0\x9f\x97\x92 [ \xf0\x9d\x90\x83\xf0\x9d\x90\x80\xf0\x9d\x90\x98 \xf0\x9d\x9f\x95 ]\n\xe2\x95\xb0 what is your favorite movie(s) recommendation for Taeyong?\n\ni recommend these movies with 4 different genres\xe2\x80\xa6',30,None,2328,2301
2021-06-07 15:18:40,b'do you guys like harry potter?',0,None,1358,2361
2021-06-07 15:18:37,"b'RT @Shamiso_: Idc how many times I watch Harry Potter, I still can\xe2\x80\x99t believe Professor Snape was a good guy all along.'",104,None,4500,4590
2021-06-07 15:18:35,b'RT @Ocalui: Harry Potter and the Chamber of Secrets (2002) https://t.co/ooLniYAbrM',1,None,271,279
2021-06-07 15:18:33,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,452,4134
2021-06-07 15:18:29,b'RT @AliJayy: Rymin AU Harry Potter + expecto patronum  #InfinityTrain https://t.co/GryhwPKA6t',53,InfinityTrain,167,1288
2021-06-07 15:18:24,b'\xe2\x9c\xa8 assistindo harry potter \xe2\x9c\xa8',0,None,263,305
2021-06-07 15:18:20,b'Harry Potter is way more enjoyable now that I can watch it all the way through',0,None,706,644
2021-06-07 15:18:15,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,305,315
2021-06-07 15:18:14,b'RT @HPotterUniverse: Jason Isaacs as Lucius Malfoy in the Harry Potter films. \n\n#HappyBirthdayJasonIsaacs https://t.co/vbaFyr67FC',29,HappyBirthdayJasonIsaacs,1223,1216
2021-06-07 15:18:14,b'harry potter and the philosophers bone',0,None,224,426
2021-06-07 15:18:10,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,56,374
2021-06-07 15:18:03,"b'RT @afrodityong: \xe2\x99\xa9D-7\xe2\x99\xa5; your favorite movies recommendation for taeyong\xe2\x99\xa9\n\nharry potter, 5 feet apart, la la land, enola holmes. idk taeyong\xe2\x80\xa6'",164,None,1049,958
2021-06-07 15:18:01,"b'RT @TheFizaHalim: When can we have Superman as award shows intro again its sooo legendary I wanna see it one more time!! \xf0\x9f\x98\xa9 Also, the way Ye\xe2\x80\xa6'",27,None,148,804
2021-06-07 15:17:50,b'RT @daily_jayke: jayke ? no it\xe2\x80\x99s more like malfoy and harry potter https://t.co/y2W4nsub6t',66,None,32,96
2021-06-07 15:17:42,b'huh also did harry potter\xe2\x80\x99s entire magic spell system just.. eat ass?',0,None,266,1269
2021-06-07 15:17:42,b'RT @elle_oftheball: Folks saying \xe2\x80\x9cobviously I don\xe2\x80\x99t support J. K. Rowling\xe2\x80\x9d without in any way evaluating or adjusting their relationship wi\xe2\x80\xa6',552,None,370,173
2021-06-07 15:17:42,"b'RT @HPotterUniverse: The Wizarding World of Harry Potter in Orlando, Florida \xe2\x9a\xa1\xef\xb8\x8f https://t.co/rfDe3yBT43'",31,None,1223,1216
2021-06-07 15:17:39,b'RT @PotterWorldUK: Harry Potter characters with their pets.\n\nCr: https://t.co/UgqvUSKiu9 https://t.co/mEoPFTWYl0',106,None,1223,1216
2021-06-07 15:17:34,"b""RT @incompetentmutt: Have you ever wondered what it would be like to be a normal teenager in hogwarts? Like you're not besties with Harry P\xe2\x80\xa6""",2,None,2741,2212
2021-06-07 15:17:29,b'@spacehinny . \n\nHarry potter \nOlivia Rodrigo',0,None,7,103
2021-06-07 15:17:22,b'RT @tyongchoco: \xf0\x9f\x97\x92 [ \xf0\x9d\x90\x83\xf0\x9d\x90\x80\xf0\x9d\x90\x98 \xf0\x9d\x9f\x95 ]\n\xe2\x95\xb0 what is your favorite movie(s) recommendation for Taeyong?\n\ni recommend these movies with 4 different genres\xe2\x80\xa6',30,None,2401,2556
2021-06-07 15:17:17,b'RT @tyongchoco: \xf0\x9f\x97\x92 [ \xf0\x9d\x90\x83\xf0\x9d\x90\x80\xf0\x9d\x90\x98 \xf0\x9d\x9f\x95 ]\n\xe2\x95\xb0 what is your favorite movie(s) recommendation for Taeyong?\n\ni recommend these movies with 4 different genres\xe2\x80\xa6',30,None,2386,2733
2021-06-07 15:17:16,b'The overlap of Harry Potter Adult and cop is a dark place https://t.co/2VP0ZTBwvU',0,None,89,385
2021-06-07 15:17:12,"b'RT @LilahSturges: There is a saying among trans people: \xe2\x80\x9cScratch a TERF, find a racist.\xe2\x80\x9d The fact that Harry Potter is full of hook-nosed b\xe2\x80\xa6'",3669,None,234,176
2021-06-07 15:17:04,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,139,94
2021-06-07 15:17:03,"b'RT @frzTY___: \xe0\xb0\x8c\xf0\x9f\x92\x8c DAY 7 \xf0\x9f\x92\x8c\xe0\xb0\x8c\n\xf0\x9f\x92\xadQ : What is your favorite movie(s) recommendation for Taeyong?\n\n-- Actually, I had a lot of favorite movies, but\xe2\x80\xa6'",59,None,341,366
2021-06-07 15:17:03,b'I LOVE HARRY POTTER https://t.co/ERKD3V0bbs',0,None,314,472
2021-06-07 15:17:02,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,444,469
2021-06-07 15:16:59,"b'RT @Shamiso_: Idc how many times I watch Harry Potter, I still can\xe2\x80\x99t believe Professor Snape was a good guy all along.'",104,None,4035,2547
2021-06-07 15:16:58,b'@jillians2cents We\xe2\x80\x99ve got the next Harry Potter game in the can',0,None,229,444
2021-06-07 15:16:55,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,18,84
2021-06-07 15:16:55,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,3,70
2021-06-07 15:16:55,b'Harry Potter \n\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f https://t.co/LfuwYVqYmk',0,None,490,593
2021-06-07 15:16:53,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,12,398
2021-06-07 15:16:48,b'RT @Wrabbit1: If I were Harry Potter I wouldn\xe2\x80\x99t come back to Hogwarts school\xe2\x80\xa6 they just be hiring any damn body. Every year I came here a n\xe2\x80\xa6',3,None,2773,701
2021-06-07 15:16:43,"b'RT @SarahAlbaker: I used to be jealous of Harry Potter for being able to talk to snakes, but it turns out I\xe2\x80\x99ve been doing it for years \xf0\x9f\x98\xac'",1,None,46,117
2021-06-07 15:16:40,b'RT @tyongchoco: \xf0\x9f\x97\x92 [ \xf0\x9d\x90\x83\xf0\x9d\x90\x80\xf0\x9d\x90\x98 \xf0\x9d\x9f\x95 ]\n\xe2\x95\xb0 what is your favorite movie(s) recommendation for Taeyong?\n\ni recommend these movies with 4 different genres\xe2\x80\xa6',30,None,1007,985
2021-06-07 15:16:37,b'@CanuckManMD Harry Potter and the rest is fine',0,None,1353,532
2021-06-07 15:16:35,b'RT @HarryPotteerBR: crossover de harry potter com programas de tv.\n\n                          ~ A Thread ~ https://t.co/6rxtdtqG15',142,None,256,240
2021-06-07 15:16:34,"b'RT @afrodityong: \xe2\x99\xa9D-7\xe2\x99\xa5; your favorite movies recommendation for taeyong\xe2\x99\xa9\n\nharry potter, 5 feet apart, la la land, enola holmes. idk taeyong\xe2\x80\xa6'",164,None,927,995
2021-06-07 15:16:24,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,139,110
2021-06-07 15:16:24,"b'RT @TY0NGQIN: \xca\x9a day 7: what is your favorite movie(s) recommendation for taeyong? \xc9\x9e\n\nall of disney movies, superhero movies, and harry pott\xe2\x80\xa6'",82,None,488,539
2021-06-07 15:16:24,b'Why am I watching Harry Potter at 8 am lol',0,None,400,321
2021-06-07 15:16:22,b'Read Harry Potter and gulp down some sweet tea out of a souvenir amusement park cup.',0,None,0,0
2021-06-07 15:16:07,b'Harry Potter and the prisoner who is the best friend ever in the world\n\nLmaooo https://t.co/i4trEv3zz8',0,None,358,241
2021-06-07 15:16:06,b'RT @tyongchoco: \xf0\x9f\x97\x92 [ \xf0\x9d\x90\x83\xf0\x9d\x90\x80\xf0\x9d\x90\x98 \xf0\x9d\x9f\x95 ]\n\xe2\x95\xb0 what is your favorite movie(s) recommendation for Taeyong?\n\ni recommend these movies with 4 different genres\xe2\x80\xa6',30,None,1545,1637
2021-06-07 15:16:02,b'just a reminder that harry potter is a globally known movie series https://t.co/QBixnqEtPe',0,None,0,1
2021-06-07 15:16:01,b'RT @csurita92: I want to lay in bed and watch Harry Potter all day',592,None,101,122
2021-06-07 15:15:54,b'\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\x99\xa7\xef\xb8\x8e\xef\xb8\x8e\xef\xb8\x8e \xf0\x9d\x97\x96\xf0\x9d\x97\x98\xf0\x9d\x97\x97\xf0\x9d\x97\xa5\xf0\x9d\x97\x9c\xf0\x9d\x97\x96 \xf0\x9d\x97\x97\xf0\x9d\x97\x9c\xf0\x9d\x97\x9a\xf0\x9d\x97\x9a\xf0\x9d\x97\xa2\xf0\x9d\x97\xa5\xf0\x9d\x97\xac \n\npretty and awkward. hufflepuff prefect. flirty. bisexual. libra. introverted. loves everyo\xe2\x80\xa6 https://t.co/JSqvotg7wX',0,None,120,133
2021-06-07 15:15:35,b'Is lee know in any position to scold seungmin when he was pretending to have watched Harry Potter the other day https://t.co/9bFPkEXamI',0,None,312,314
2021-06-07 15:15:23,b'RT @tyongchoco: \xf0\x9f\x97\x92 [ \xf0\x9d\x90\x83\xf0\x9d\x90\x80\xf0\x9d\x90\x98 \xf0\x9d\x9f\x95 ]\n\xe2\x95\xb0 what is your favorite movie(s) recommendation for Taeyong?\n\ni recommend these movies with 4 different genres\xe2\x80\xa6',30,None,1332,1435
2021-06-07 15:15:23,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,334,538
2021-06-07 15:15:16,b'@ABisexualWriter Isn\xe2\x80\x99t that Harry Potter',0,None,120,175
2021-06-07 15:15:14,b'RT @oxovoae: \xe2\x96\x91 \xf0\x9d\x93\x93\xf0\x9d\x93\xaa\xf0\x9d\x94\x82 7 \xe2\x96\x91\n\xe2\xa4\xb7\xf0\x9d\x9a\x98\xf0\x9d\x9a\x97 \xf0\x9d\x9f\xb8\xf0\x9d\x9f\xbf \xf0\x9d\x9a\x8d\xf0\x9d\x9a\x8a\xf0\x9d\x9a\xa2\xf0\x9d\x9a\x9c \xf0\x9d\x9a\xa0\xf0\x9d\x9a\x92\xf0\x9d\x9a\x9d\xf0\x9d\x9a\x91 \xf0\x9d\x9a\x9d\xf0\x9d\x9a\x8a\xf0\x9d\x9a\x8e\xf0\x9d\x9a\xa2\xf0\x9d\x9a\x98\xf0\x9d\x9a\x97\xf0\x9d\x9a\x90\n\nQ: what is your favorite movie(s) recommendation for taeyong?\n-\xc2\xbb i recommend spongebob all\xe2\x80\xa6',47,None,2386,2733
2021-06-07 15:15:08,b'@INFORMLOUIES harry potter REQUEST @Louis_Tomlinson @MTV #fridayLivestream',0,fridayLivestream,1671,1710
2021-06-07 15:15:08,b'The new #HarryPotter flagship store opens in New York City https://t.co/NlmisFYCh4 https://t.co/UEEDjpRUTn',0,HarryPotter,1378,1267
2021-06-07 15:14:57,b'RT @Wrabbit1: If I were Harry Potter I wouldn\xe2\x80\x99t come back to Hogwarts school\xe2\x80\xa6 they just be hiring any damn body. Every year I came here a n\xe2\x80\xa6',3,None,853,3145
2021-06-07 15:14:55,b'RT @HarryPotterMAEN: Remember this classic tune?\n\nGet ready to master the magic in Harry Potter: Magic Awakened.\n\n#HarryPotter #MagicAwaken\xe2\x80\xa6',728,HarryPotter,2,44
2021-06-07 15:14:44,"b'RT @TY0NGQIN: \xca\x9a day 7: what is your favorite movie(s) recommendation for taeyong? \xc9\x9e\n\nall of disney movies, superhero movies, and harry pott\xe2\x80\xa6'",82,None,1132,1143
